FS - result of full search for any attachments reference in (), needs manual editing
RP - will repeat search, file probably moved already
OK - reference updated and file moved
NO - matched in 1st loop, no match in 2nd, needs manual editing
OK {'file': '_index.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\appstore\\app-services\\\\3d-viewer\\', 'line No.': 165, 'match': 'attachments/3d-viewer/getmodellistfrommendix.jpg)', 'newInsert': '/attachments/appstore/app-services/3d-viewer/getmodellistfrommendix.jpg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/appstore/app-services/3d-viewer/getmodellistfrommendix.jpg'}
OK {'file': '_index.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\appstore\\app-services\\\\3d-viewer\\', 'line No.': 169, 'match': 'attachments/3d-viewer/getmarkupsfrommendix.jpg)', 'newInsert': '/attachments/appstore/app-services/3d-viewer/getmarkupsfrommendix.jpg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/appstore/app-services/3d-viewer/getmarkupsfrommendix.jpg'}
OK {'file': '_index.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\appstore\\app-services\\\\3d-viewer\\', 'line No.': 245, 'match': 'attachments/3d-viewer/pstreetable-general.jpg)', 'newInsert': '/attachments/appstore/app-services/3d-viewer/pstreetable-general.jpg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/appstore/app-services/3d-viewer/pstreetable-general.jpg'}
OK {'file': '_index.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\appstore\\app-services\\\\3d-viewer\\', 'line No.': 315, 'match': 'attachments/3d-viewer/uploader-uploadedmodelinfo.jpg)', 'newInsert': '/attachments/appstore/app-services/3d-viewer/uploader-uploadedmodelinfo.jpg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/appstore/app-services/3d-viewer/uploader-uploadedmodelinfo.jpg'}
OK {'file': '_index.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\appstore\\app-services\\\\3d-viewer\\', 'line No.': 319, 'match': 'attachments/3d-viewer/viewer-datasourceuploaded.jpg)', 'newInsert': '/attachments/appstore/app-services/3d-viewer/viewer-datasourceuploaded.jpg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/appstore/app-services/3d-viewer/viewer-datasourceuploaded.jpg'}
OK {'file': '_index.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\appstore\\app-services\\\\3d-viewer\\', 'line No.': 324, 'match': 'attachments/3d-viewer/runlocally-uploadandview.jpg)', 'newInsert': '/attachments/appstore/app-services/3d-viewer/runlocally-uploadandview.jpg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/appstore/app-services/3d-viewer/runlocally-uploadandview.jpg'}
OK {'file': '_index.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\appstore\\app-services\\\\3d-viewer\\', 'line No.': 330, 'match': 'attachments/3d-viewer/uploader-uploadedstatus.jpg)', 'newInsert': '/attachments/appstore/app-services/3d-viewer/uploader-uploadedstatus.jpg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/appstore/app-services/3d-viewer/uploader-uploadedstatus.jpg'}
OK {'file': '_index.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\appstore\\app-services\\\\3d-viewer\\', 'line No.': 341, 'match': 'attachments/3d-viewer/viewer-progresspercentage.jpg)', 'newInsert': '/attachments/appstore/app-services/3d-viewer/viewer-progresspercentage.jpg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/appstore/app-services/3d-viewer/viewer-progresspercentage.jpg'}
OK {'file': '_index.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\appstore\\app-services\\\\3d-viewer\\', 'line No.': 346, 'match': 'attachments/3d-viewer/runlocally-loadingprogress.jpg)', 'newInsert': '/attachments/appstore/app-services/3d-viewer/runlocally-loadingprogress.jpg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/appstore/app-services/3d-viewer/runlocally-loadingprogress.jpg'}
OK {'file': '_index.md', 'path': 'C:\\Users\\Natasa.Kralj\\Documents\\docs\\local-development\\content\\en\\docs\\appstore\\app-services\\\\3d-viewer\\', 'line No.': 352, 'match': 'attachments/3d-viewer/structuremode-more3dwidgets.jpg)', 'newInsert': '/attachments/appstore/app-services/3d-viewer/structuremode-more3dwidgets.jpg)', 'newPath': 'C:/Users/Natasa.Kralj/Documents/docs/local-development/static/attachments/appstore/app-services/3d-viewer/structuremode-more3dwidgets.jpg'}
